한자,훈/음 (1),훈/음 (2),훈/음 (3),부수,급수
校,학교 교:,,,木,8급
東,동녘 동,,,木,8급
四,넉 사:,,,囗,8급
五,다섯 오:,,,二,8급
中,가운데 중,,,丨,8급
敎,가르칠 교:,,,攴,8급
六,여섯 륙,,,八,8급
山,메 산,,,山,8급
王,임금 왕,,,玉,8급
靑,푸를 청,,,靑,8급
九,아홉 구,,,乙,8급
萬,일만 만:,,,艸,8급
三,석 삼,,,一,8급
外,바깥 외:,,,夕,8급
寸,마디 촌:,,,寸,8급
國,나라 국,,,囗,8급
母,어미 모:,,,毋,8급
生,날 생,,,生,8급
月,달 월,,,月,8급
七,일곱 칠,,,一,8급
軍,군사 군,,,車,8급
木,나무 목,,,木,8급
西,서녘 서,,,襾,8급
二,두 이:,,,二,8급
土,흙 토,,,土,8급
金,쇠 금,성(姓) 김,,金,8급
門,문 문,,,門,8급
先,먼저 선,,,儿,8급
人,사람 인,,,人,8급
八,여덟 팔,,,八,8급
南,남녘 남,,,十,8급
民,백성 민,,,氏,8급
小,작을 소:,,,小,8급
一,한 일,,,一,8급
學,배울 학,,,子,8급
女,계집 녀,,,女,8급
白,흰 백,,,白,8급
水,물 수,,,水,8급
日,날 일,,,日,8급
韓,한국 한(:),나라 한(:),,韋,8급
年,해 년,,,干,8급
父,아비 부,,,父,8급
室,집 실,,,宀,8급
長,긴 장(:),,,長,8급
兄,형 형,,,儿,8급
大,큰 대(:),,,大,8급
北,북녘 북,달아날 배:,,匕,8급
十,열 십,,,十,8급
弟,아우 제:,,,弓,8급
火,불 화(:),,,火,8급
家,집 가,,,宀,7급Ⅱ
農,농사 농,,,辰,7급Ⅱ
不,아닐 불,,,一,7급Ⅱ
午,낮 오:,,,十,7급Ⅱ
左,왼 좌:,,,工,7급Ⅱ
間,사이 간(:),,,門,7급Ⅱ
答,대답 답,,,竹,7급Ⅱ
事,일 사:,,,亅,7급Ⅱ
右,오를 우:,오른(쪽) 우:,,口,7급Ⅱ
直,곧을 직,,,目,7급Ⅱ
江,강 강,,,水,7급Ⅱ
道,길 도:,,,辵,7급Ⅱ
上,윗 상:,,,一,7급Ⅱ
子,아들 자,,,子,7급Ⅱ
平,평평할 평,,,干,7급Ⅱ
車,수레 거,수레 차,,車,7급Ⅱ
動,움직일 동:,,,力,7급Ⅱ
姓,성 성:,,,女,7급Ⅱ
自,스스로 자,,,自,7급Ⅱ
下,아래 하:,,,一,7급Ⅱ
工,장인 공,,,工,7급Ⅱ
力,힘 력,,,力,7급Ⅱ
世,인간 세:,,,一,7급Ⅱ
場,마당 장,,,土,7급Ⅱ
漢,한수 한:,한나라 한:,,水,7급Ⅱ
空,빌 공,,,穴,7급Ⅱ
立,설 립,,,立,7급Ⅱ
手,손 수(:),,,手,7급Ⅱ
電,번개 전:,,,雨,7급Ⅱ
海,바다 해:,,,水,7급Ⅱ
氣,기운 기,,,气,7급Ⅱ
每,매양 매(:),,,毋,7급Ⅱ
時,때 시,,,日,7급Ⅱ
前,앞 전,,,刀,7급Ⅱ
話,말씀 화,,,言,7급Ⅱ
記,기록할 기,,,言,7급Ⅱ
名,이름 명,,,口,7급Ⅱ
市,저자 시:,,,巾,7급Ⅱ
全,온전 전,,,入,7급Ⅱ
活,살 활,,,水,7급Ⅱ
男,사내 남,,,田,7급Ⅱ
物,물건 물,,,牛,7급Ⅱ
食,밥 식,먹을 식,,食,7급Ⅱ
正,바를 정(:),,,止,7급Ⅱ
孝,효도 효:,,,子,7급Ⅱ
內,안 내:,,,入,7급Ⅱ
方,모[棱] 방,,,方,7급Ⅱ
安,편안 안,,,宀,7급Ⅱ
足,발 족,,,足,7급Ⅱ
後,뒤 후:,,,彳,7급Ⅱ
歌,노래 가,,,欠,7급
林,수풀 림,,,木,7급
少,적을 소:,,,小,7급
入,들 입,,,入,7급
川,내 천,,,巛,7급
口,입 구(:),,,口,7급
面,낯 면:,,,面,7급
所,바 소:,,,戶,7급
字,글자 자,,,子,7급
草,풀 초,,,艸,7급
旗,기 기,,,方,7급
命,목숨 명:,,,口,7급
數,셈 수:,,,攴,7급
祖,할아비 조,,,示,7급
村,마을 촌:,,,木,7급
同,한가지 동,,,口,7급
文,글월 문,,,文,7급
植,심을 식,,,木,7급
住,살 주:,,,人,7급
秋,가을 추,,,禾,7급
洞,골 동:,밝을 통:,,水,7급
問,물을 문:,,,口,7급
心,마음 심,,,心,7급
主,임금 주,주인 주,,丶,7급
春,봄 춘,,,日,7급
冬,겨울 동(:),,,冫,7급
百,일백 백,,,白,7급
語,말씀 어:,,,言,7급
重,무거울 중:,,,里,7급
出,날[生] 출,,,凵,7급
登,오를 등,,,癶,7급
夫,지아비 부,,,大,7급
然,그럴 연,,,火,7급
紙,종이 지,,,糸,7급
便,편할 편(:),똥오줌 변,,人,7급
來,올 래(:),,,人,7급
算,셈 산:,,,竹,7급
有,있을 유:,,,月,7급
地,따 지,,,土,7급
夏,여름 하:,,,夊,7급
老,늙을 로:,,,老,7급
色,빛 색,,,色,7급
育,기를 육,,,肉,7급
千,일천 천,,,十,7급
花,꽃 화,,,艸,7급
里,마을 리:,,,里,7급
夕,저녁 석,,,夕,7급
邑,고을 읍,,,邑,7급
天,하늘 천,,,大,7급
休,쉴 휴,,,人,7급
各,각각 각,,,口,6급Ⅱ
光,빛 광,,,儿,6급Ⅱ
童,아이 동(:),,,立,6급Ⅱ
發,필 발,,,癶,6급Ⅱ
消,사라질 소,,,水,6급Ⅱ
角,뿔 각,,,角,6급Ⅱ
球,공 구,,,玉,6급Ⅱ
等,무리 등:,,,竹,6급Ⅱ
放,놓을 방(:),,,攴,6급Ⅱ
術,재주 술,,,行,6급Ⅱ
界,지경 계:,,,田,6급Ⅱ
今,이제 금,,,人,6급Ⅱ
樂,즐길 락,노래 악,좋아할 요,木,6급Ⅱ
部,떼 부,,,邑,6급Ⅱ
始,비로소 시:,,,女,6급Ⅱ
計,셀 계:,,,言,6급Ⅱ
急,급할 급,,,心,6급Ⅱ
利,이할 리:,,,刀,6급Ⅱ
分,나눌 분(:),,,刀,6급Ⅱ
身,몸 신,,,身,6급Ⅱ
高,높을 고,,,高,6급Ⅱ
短,짧을 단(:),,,矢,6급Ⅱ
理,다스릴 리:,,,玉,6급Ⅱ
社,모일 사,,,示,6급Ⅱ
神,귀신 신,,,示,6급Ⅱ
公,공평할 공,,,八,6급Ⅱ
堂,집 당,,,土,6급Ⅱ
明,밝을 명,,,日,6급Ⅱ
書,글 서,,,曰,6급Ⅱ
信,믿을 신:,,,人,6급Ⅱ
共,한가지 공:,,,八,6급Ⅱ
代,대신할 대:,,,人,6급Ⅱ
聞,들을 문(:),,,耳,6급Ⅱ
線,줄 선,,,糸,6급Ⅱ
新,새 신,,,斤,6급Ⅱ
功,공[勳] 공,,,力,6급Ⅱ
對,대할 대:,,,寸,6급Ⅱ
半,반(半) 반:,,,十,6급Ⅱ
雪,눈 설,,,雨,6급Ⅱ
弱,약할 약,,,弓,6급Ⅱ
果,실과 과:,,,木,6급Ⅱ
圖,그림 도,,,囗,6급Ⅱ
反,돌이킬 반:,돌아올 반:,,又,6급Ⅱ
成,이룰 성,,,戈,6급Ⅱ
藥,약 약,,,艸,6급Ⅱ
科,과목 과,,,禾,6급Ⅱ
讀,읽을 독,구절 두,,言,6급Ⅱ
班,나눌 반,,,玉,6급Ⅱ
省,살필 성,덜 생,,目,6급Ⅱ
業,업 업,,,木,6급Ⅱ
勇,날랠 용:,,,力,6급Ⅱ
庭,뜰 정,,,广,6급Ⅱ
幸,다행 행:,,,干,6급Ⅱ
用,쓸 용:,,,用,6급Ⅱ
第,차례 제:,,,竹,6급Ⅱ
現,나타날 현:,,,玉,6급Ⅱ
運,옮길 운:,,,辵,6급Ⅱ
題,제목 제,,,頁,6급Ⅱ
形,모양 형,,,彡,6급Ⅱ
音,소리 음,,,音,6급Ⅱ
注,부을 주:,,,水,6급Ⅱ
和,화할 화,,,口,6급Ⅱ
飮,마실 음(:),,,食,6급Ⅱ
集,모을 집,,,隹,6급Ⅱ
會,모일 회:,,,曰,6급Ⅱ
意,뜻 의:,,,心,6급Ⅱ
窓,창 창,,,穴,6급Ⅱ
作,지을 작,,,人,6급Ⅱ
淸,맑을 청,,,水,6급Ⅱ
昨,어제 작,,,日,6급Ⅱ
體,몸 체,,,骨,6급Ⅱ
才,재주 재,,,手,6급Ⅱ
表,겉 표,,,衣,6급Ⅱ
戰,싸움 전:,,,戈,6급Ⅱ
風,바람 풍,,,風,6급Ⅱ
感,느낄 감:,,,心,6급
近,가까울 근:,,,辵,6급
李,오얏 리:,성(姓) 리:,,木,6급
使,하여금 사:,부릴 사:,,人,6급
失,잃을 실,,,大,6급
強,강할 강(:),,,弓,6급
級,등급 급,,,糸,6급
目,눈 목,,,目,6급
死,죽을 사:,,,歹,6급
愛,사랑 애(:),,,心,6급
開,열 개,,,門,6급
多,많을 다,,,夕,6급
美,아름다울 미(:),,,羊,6급
席,자리 석,,,巾,6급
夜,밤 야:,,,夕,6급
京,서울 경,,,亠,6급
待,기다릴 대:,,,彳,6급
米,쌀 미,,,米,6급
石,돌 석,,,石,6급
野,들[坪] 야:,,,里,6급
古,예 고:,,,口,6급
度,법도 도(:),헤아릴 탁,,广,6급
朴,성(姓) 박,,,木,6급
速,빠를 속,,,辵,6급
陽,볕 양,,,阜,6급
苦,쓸[味覺] 고,,,艸,6급
頭,머리 두,,,頁,6급
番,차례 번,,,田,6급
孫,손자 손(:),,,子,6급
洋,큰바다 양,,,水,6급
交,사귈 교,,,亠,6급
例,법식 례:,,,人,6급
別,다를 별,나눌 별,,刀,6급
樹,나무 수,,,木,6급
言,말씀 언,,,言,6급
區,구분할 구,지경 구,,匸,6급
禮,예도 례:,,,示,6급
病,병 병:,,,疒,6급
習,익힐 습,,,羽,6급
英,꽃부리 영,,,艸,6급
郡,고을 군:,,,邑,6급
路,길 로:,,,足,6급
服,옷 복,,,月,6급
勝,이길 승,,,力,6급
永,길 영:,,,水,6급
根,뿌리 근,,,木,6급
綠,푸를 록,,,糸,6급
本,근본 본,,,木,6급
式,법 식,,,弋,6급
溫,따뜻할 온,,,水,6급
園,동산 원,,,囗,6급
定,정할 정:,,,宀,6급
向,향할 향:,,,口,6급
遠,멀 원:,,,辵,6급
朝,아침 조,,,月,6급
號,이름 호(:),,,虍,6급
由,말미암을 유,,,田,6급
族,겨레 족,,,方,6급
畫,그림 화:,그을 획,,田,6급
油,기름 유,,,水,6급
晝,낮 주,,,日,6급
黃,누를 황,,,黃,6급
銀,은 은,,,金,6급
親,친할 친,,,見,6급
訓,가르칠 훈:,,,言,6급
醫,의원 의,,,酉,6급
太,클 태,,,大,6급
衣,옷 의,,,衣,6급
通,통할 통,,,辵,6급
者,놈 자,,,老,6급
特,특별할 특,,,牛,6급
章,글 장,,,立,6급
合,합할 합,,,口,6급
在,있을 재:,,,土,6급
行,다닐 행(:),항렬 항,,行,6급
價,값 가,,,人,5급Ⅱ
觀,볼 관,,,見,5급Ⅱ
團,둥글 단,,,囗,5급Ⅱ
勞,일할 로,,,力,5급Ⅱ
史,사기(史記) 사:,,,口,5급Ⅱ
客,손 객,,,宀,5급Ⅱ
關,관계할 관,,,門,5급Ⅱ
當,마땅 당,,,田,5급Ⅱ
流,흐를 류,,,水,5급Ⅱ
士,선비 사:,,,士,5급Ⅱ
格,격식 격,,,木,5급Ⅱ
廣,넓을 광:,,,广,5급Ⅱ
德,큰 덕,,,彳,5급Ⅱ
類,무리 류(:),,,頁,5급Ⅱ
仕,섬길 사(:),,,人,5급Ⅱ
見,볼 견:,뵈올 현:,,見,5급Ⅱ
具,갖출 구(:),,,八,5급Ⅱ
到,이를 도:,,,刀,5급Ⅱ
陸,뭍 륙,,,阜,5급Ⅱ
産,낳을 산:,,,生,5급Ⅱ
結,맺을 결,,,糸,5급Ⅱ
舊,예 구:,,,臼,5급Ⅱ
獨,홀로 독,,,犬,5급Ⅱ
望,바랄 망:,,,月,5급Ⅱ
商,장사 상,,,口,5급Ⅱ
決,결단할 결,,,水,5급Ⅱ
局,판[形局] 국,,,尸,5급Ⅱ
朗,밝을 랑:,,,月,5급Ⅱ
法,법 법,,,水,5급Ⅱ
相,서로 상,,,目,5급Ⅱ
敬,공경 경:,,,攴,5급Ⅱ
基,터 기,,,土,5급Ⅱ
良,어질 량,,,艮,5급Ⅱ
變,변할 변:,,,言,5급Ⅱ
鮮,고울 선,,,魚,5급Ⅱ
告,고할 고:,,,口,5급Ⅱ
己,몸 기,,,己,5급Ⅱ
旅,나그네 려,,,方,5급Ⅱ
兵,병사 병,,,八,5급Ⅱ
仙,신선 선,,,人,5급Ⅱ
課,공부할 과,과정 과(:),,言,5급Ⅱ
念,생각 념:,,,心,5급Ⅱ
歷,지날 력,,,止,5급Ⅱ
福,복 복,,,示,5급Ⅱ
說,말씀 설,달랠 세:,,言,5급Ⅱ
過,지날 과:,,,辵,5급Ⅱ
能,능할 능,,,肉,5급Ⅱ
練,익힐 련:,,,糸,5급Ⅱ
奉,받들 봉:,,,大,5급Ⅱ
性,성품 성:,,,心,5급Ⅱ
洗,씻을 세:,,,水,5급Ⅱ
惡,악할 악,미워할 오,,心,5급Ⅱ
任,맡길 임(:),,,人,5급Ⅱ
情,뜻 정,,,心,5급Ⅱ
責,꾸짖을 책,,,貝,5급Ⅱ
歲,해 세:,,,止,5급Ⅱ
約,맺을 약,,,糸,5급Ⅱ
財,재물 재,,,貝,5급Ⅱ
調,고를 조,,,言,5급Ⅱ
充,채울 충,,,儿,5급Ⅱ
束,묶을 속,,,木,5급Ⅱ
養,기를 양:,,,食,5급Ⅱ
材,재목 재,,,木,5급Ⅱ
卒,마칠 졸,,,十,5급Ⅱ
宅,집 택,,,宀,5급Ⅱ
首,머리 수,,,首,5급Ⅱ
要,요긴할 요(:),,,襾,5급Ⅱ
的,과녁 적,,,白,5급Ⅱ
種,씨 종(:),,,禾,5급Ⅱ
品,물건 품:,,,口,5급Ⅱ
宿,잘 숙,별자리 수:,,宀,5급Ⅱ
友,벗 우:,,,又,5급Ⅱ
傳,전할 전,,,人,5급Ⅱ
週,주일 주,,,辵,5급Ⅱ
必,반드시 필,,,心,5급Ⅱ
順,순할 순:,,,頁,5급Ⅱ
雨,비 우:,,,雨,5급Ⅱ
典,법 전:,,,八,5급Ⅱ
州,고을 주,,,巛,5급Ⅱ
筆,붓 필,,,竹,5급Ⅱ
識,알 식,,,言,5급Ⅱ
雲,구름 운,,,雨,5급Ⅱ
展,펼 전:,,,尸,5급Ⅱ
知,알 지,,,矢,5급Ⅱ
害,해할 해:,,,宀,5급Ⅱ
臣,신하 신,,,臣,5급Ⅱ
元,으뜸 원,,,儿,5급Ⅱ
節,마디 절,,,竹,5급Ⅱ
質,바탕 질,,,貝,5급Ⅱ
化,될 화(:),,,匕,5급Ⅱ
實,열매 실,,,宀,5급Ⅱ
偉,클 위,,,人,5급Ⅱ
切,끊을 절,온통 체,,刀,5급Ⅱ
着,붙을 착,,,目,5급Ⅱ
效,본받을 효:,,,攴,5급Ⅱ
兒,아이 아,,,儿,5급Ⅱ
以,써 이:,,,人,5급Ⅱ
店,가게 점:,,,广,5급Ⅱ
參,참여할 참,,,厶,5급Ⅱ
凶,흉할 흉,,,凵,5급Ⅱ
加,더할 가,,,力,5급
景,볕 경(:),,,日,5급
期,기약할 기,,,月,5급
領,거느릴 령,,,頁,5급
比,견줄 비:,,,比,5급
可,옳을 가:,,,口,5급
考,생각할 고(:),,,老,5급
技,재주 기,,,手,5급
令,하여금 령(:),,,人,5급
費,쓸 비:,,,貝,5급
改,고칠 개(:),,,攴,5급
固,굳을 고(:),,,囗,5급
吉,길할 길,,,口,5급
料,헤아릴 료(:),,,斗,5급
鼻,코 비:,,,鼻,5급
擧,들 거:,,,手,5급
曲,굽을 곡,,,曰,5급
壇,단 단,,,土,5급
馬,말 마:,,,馬,5급
氷,얼음 빙,,,水,5급
去,갈 거:,,,厶,5급
橋,다리 교,,,木,5급
談,말씀 담,,,言,5급
末,끝 말,,,木,5급
寫,베낄 사,,,宀,5급
件,물건 건,,,人,5급
救,구원할 구:,,,攴,5급
都,도읍 도,,,邑,5급
亡,망할 망,,,亠,5급
思,생각 사(:),,,心,5급
建,세울 건:,,,廴,5급
貴,귀할 귀:,,,貝,5급
島,섬 도,,,山,5급
買,살 매:,,,貝,5급
査,조사할 사,,,木,5급
健,굳셀 건:,,,人,5급
規,법 규,,,見,5급
落,떨어질 락,,,艸,5급
賣,팔 매(:),,,貝,5급
賞,상줄 상,,,貝,5급
輕,가벼울 경,,,車,5급
給,줄 급,,,糸,5급
冷,찰 랭:,,,冫,5급
無,없을 무,,,火,5급
序,차례 서:,,,广,5급
競,다툴 경:,,,立,5급
汽,물끓는김 기,,,水,5급
量,헤아릴 량,,,里,5급
倍,곱 배(:),,,人,5급
善,착할 선:,,,口,5급
選,가릴 선:,,,辵,5급
完,완전할 완,,,宀,5급
因,인할 인,,,囗,5급
止,그칠 지,,,止,5급
卓,높을 탁,,,十,5급
船,배 선,,,舟,5급
曜,빛날 요:,,,日,5급
災,재앙 재,,,火,5급
唱,부를 창:,,,口,5급
炭,숯 탄:,,,火,5급
示,보일 시:,,,示,5급
浴,목욕할 욕,,,水,5급
再,두 재:,,,冂,5급
鐵,쇠 철,,,金,5급
板,널 판,,,木,5급
案,책상 안:,,,木,5급
牛,소 우,,,牛,5급
爭,다툴 쟁,,,爪,5급
初,처음 초,,,刀,5급
敗,패할 패:,,,攴,5급
漁,고기잡을 어,,,水,5급
雄,수컷 웅,,,隹,5급
貯,쌓을 저:,,,貝,5급
最,가장 최:,,,曰,5급
河,물 하,,,水,5급
魚,고기 어,물고기 어,,魚,5급
原,언덕 원,,,厂,5급
赤,붉을 적,,,赤,5급
祝,빌 축,,,示,5급
寒,찰 한,,,宀,5급
億,억[數字] 억,,,人,5급
院,집 원,,,阜,5급
停,머무를 정,,,人,5급
致,이를 치:,,,至,5급
許,허락할 허,,,言,5급
熱,더울 열,,,火,5급
願,원할 원:,,,頁,5급
操,잡을 조(:),,,手,5급
則,법칙 칙,,,刀,5급
湖,호수 호,,,水,5급
葉,잎 엽,,,艸,5급
位,자리 위,,,人,5급
終,마칠 종,,,糸,5급
他,다를 타,,,人,5급
患,근심 환:,,,心,5급
屋,집 옥,,,尸,5급
耳,귀 이:,,,耳,5급
罪,허물 죄:,,,网,5급
打,칠 타:,,,手,5급
黑,검을 흑,,,黑,5급
假,거짓 가:,,,人,4급Ⅱ
境,지경 경,,,土,4급Ⅱ
宮,집 궁,,,宀,4급Ⅱ
斷,끊을 단:,,,斤,4급Ⅱ
毒,독 독,,,毋,4급Ⅱ
街,거리 가(:),,,行,4급Ⅱ
經,지날 경,글 경,,糸,4급Ⅱ
權,권세 권,,,木,4급Ⅱ
單,홑 단,,,口,4급Ⅱ
督,감독할 독,,,目,4급Ⅱ
減,덜 감:,,,水,4급Ⅱ
警,깨우칠 경:,,,言,4급Ⅱ
極,다할 극,극진할 극,,木,4급Ⅱ
檀,박달나무 단,,,木,4급Ⅱ
銅,구리 동,,,金,4급Ⅱ
監,볼 감,,,皿,4급Ⅱ
慶,경사 경:,,,心,4급Ⅱ
禁,금할 금:,,,示,4급Ⅱ
端,끝 단,,,立,4급Ⅱ
斗,말 두,,,斗,4급Ⅱ
講,욀 강:,,,言,4급Ⅱ
係,맬 계:,,,人,4급Ⅱ
器,그릇 기,,,口,4급Ⅱ
達,통달할 달,,,辵,4급Ⅱ
豆,콩 두,,,豆,4급Ⅱ
康,편안 강,,,广,4급Ⅱ
故,연고 고(:),,,攴,4급Ⅱ
起,일어날 기,,,走,4급Ⅱ
擔,멜 담,,,手,4급Ⅱ
得,얻을 득,,,彳,4급Ⅱ
個,낱 개(:),,,人,4급Ⅱ
官,벼슬 관,,,宀,4급Ⅱ
暖,따뜻할 난:,,,日,4급Ⅱ
黨,무리 당,,,黑,4급Ⅱ
燈,등 등,,,火,4급Ⅱ
檢,검사할 검:,,,木,4급Ⅱ
求,구할[索] 구,,,水,4급Ⅱ
難,어려울 난(:),,,隹,4급Ⅱ
帶,띠 대(:),,,巾,4급Ⅱ
羅,벌릴 라,,,网,4급Ⅱ
潔,깨끗할 결,,,水,4급Ⅱ
句,글귀 구,,,口,4급Ⅱ
怒,성낼 노:,,,心,4급Ⅱ
隊,무리 대,,,阜,4급Ⅱ
兩,두 량:,,,入,4급Ⅱ
缺,이지러질 결,,,缶,4급Ⅱ
究,연구할 구,,,穴,4급Ⅱ
努,힘쓸 노,,,力,4급Ⅱ
導,인도할 도:,,,寸,4급Ⅱ
麗,고울 려,,,鹿,4급Ⅱ
連,이을 련,,,辵,4급Ⅱ
務,힘쓸 무:,,,力,4급Ⅱ
背,등 배:,,,肉,4급Ⅱ
復,회복할 복,다시 부:,,彳,4급Ⅱ
貧,가난할 빈,,,貝,4급Ⅱ
列,벌릴 렬,,,刀,4급Ⅱ
武,호반 무:,,,止,4급Ⅱ
配,나눌 배:,짝 배:,,酉,4급Ⅱ
府,마을[官廳] 부(:),,,广,4급Ⅱ
寺,절 사,,,寸,4급Ⅱ
錄,기록할 록,,,金,4급Ⅱ
未,아닐 미(:),,,木,4급Ⅱ
罰,벌할 벌,,,网,4급Ⅱ
富,부자 부:,,,宀,4급Ⅱ
師,스승 사,,,巾,4급Ⅱ
論,논할 론,,,言,4급Ⅱ
味,맛 미:,,,口,4급Ⅱ
伐,칠[討] 벌,,,人,4급Ⅱ
副,버금 부:,,,刀,4급Ⅱ
謝,사례할 사:,,,言,4급Ⅱ
留,머무를 류,,,田,4급Ⅱ
密,빽빽할 밀,,,宀,4급Ⅱ
壁,벽 벽,,,土,4급Ⅱ
婦,며느리 부,,,女,4급Ⅱ
舍,집 사,,,舌,4급Ⅱ
律,법칙 률,,,彳,4급Ⅱ
博,넓을 박,,,十,4급Ⅱ
邊,가[側] 변,,,辵,4급Ⅱ
佛,부처 불,,,人,4급Ⅱ
殺,죽일 살,감할 쇄:,빠를 쇄:,殳,4급Ⅱ
滿,찰 만(:),,,水,4급Ⅱ
防,막을 방,,,阜,4급Ⅱ
保,지킬 보(:),,,人,4급Ⅱ
飛,날 비,,,飛,4급Ⅱ
常,떳떳할 상,,,巾,4급Ⅱ
脈,줄기 맥,,,肉,4급Ⅱ
房,방 방,,,戶,4급Ⅱ
步,걸음 보:,,,止,4급Ⅱ
備,갖출 비:,,,人,4급Ⅱ
床,상 상,,,广,4급Ⅱ
毛,터럭 모,,,毛,4급Ⅱ
訪,찾을 방:,,,言,4급Ⅱ
報,갚을 보:,알릴 보:,,土,4급Ⅱ
非,아닐 비(:),,,非,4급Ⅱ
想,생각 상:,,,心,4급Ⅱ
牧,칠[養] 목,,,牛,4급Ⅱ
拜,절 배:,,,手,4급Ⅱ
寶,보배 보:,,,宀,4급Ⅱ
悲,슬플 비:,,,心,4급Ⅱ
狀,형상 상,문서 장:,,犬,4급Ⅱ
設,베풀 설,,,言,4급Ⅱ
笑,웃음 소:,,,竹,4급Ⅱ
收,거둘 수,,,攴,4급Ⅱ
深,깊을 심,,,水,4급Ⅱ
硏,갈 연:,,,石,4급Ⅱ
誠,정성 성,,,言,4급Ⅱ
掃,쓸[掃除] 소(:),,,手,4급Ⅱ
純,순수할 순,,,糸,4급Ⅱ
眼,눈 안:,,,目,4급Ⅱ
演,펼 연:,,,水,4급Ⅱ
聲,소리 성,,,耳,4급Ⅱ
素,본디 소(:),흴[白] 소(:),,糸,4급Ⅱ
承,이을 승,,,手,4급Ⅱ
暗,어두울 암:,,,日,4급Ⅱ
榮,영화 영,,,木,4급Ⅱ
盛,성할 성:,,,皿,4급Ⅱ
續,이을 속,,,糸,4급Ⅱ
詩,시 시,,,言,4급Ⅱ
壓,누를 압,,,土,4급Ⅱ
藝,재주 예:,,,艸,4급Ⅱ
聖,성인 성:,,,耳,4급Ⅱ
俗,풍속 속,,,人,4급Ⅱ
試,시험 시(:),,,言,4급Ⅱ
液,진 액,,,水,4급Ⅱ
誤,그르칠 오:,,,言,4급Ⅱ
城,재 성,,,土,4급Ⅱ
送,보낼 송:,,,辵,4급Ⅱ
視,볼 시:,,,見,4급Ⅱ
羊,양 양,,,羊,4급Ⅱ
玉,구슬 옥,,,玉,4급Ⅱ
星,별 성,,,日,4급Ⅱ
修,닦을 수,,,人,4급Ⅱ
施,베풀 시:,,,方,4급Ⅱ
餘,남을 여,,,食,4급Ⅱ
往,갈 왕:,,,彳,4급Ⅱ
勢,형세 세:,,,力,4급Ⅱ
受,받을 수(:),,,又,4급Ⅱ
是,이[斯] 시:,옳을 시:,,日,4급Ⅱ
如,같을 여,,,女,4급Ⅱ
謠,노래 요,,,言,4급Ⅱ
稅,세금 세:,,,禾,4급Ⅱ
守,지킬 수,,,宀,4급Ⅱ
息,쉴 식,,,心,4급Ⅱ
逆,거스릴 역,,,辵,4급Ⅱ
容,얼굴 용,,,宀,4급Ⅱ
細,가늘 세:,,,糸,4급Ⅱ
授,줄 수,,,手,4급Ⅱ
申,납[猿] 신,,,田,4급Ⅱ
煙,연기 연,,,火,4급Ⅱ
圓,둥글 원,,,囗,4급Ⅱ
員,인원 원,,,口,4급Ⅱ
益,더할 익,,,皿,4급Ⅱ
接,이을 접,,,手,4급Ⅱ
祭,제사 제:,,,示,4급Ⅱ
衆,무리 중:,,,血,4급Ⅱ
衛,지킬 위,,,行,4급Ⅱ
印,도장 인,,,卩,4급Ⅱ
政,정사(政事) 정,,,攴,4급Ⅱ
鳥,새 조,,,鳥,4급Ⅱ
增,더할 증,,,土,4급Ⅱ
爲,하 위(:),할 위(:),,爪,4급Ⅱ
引,끌 인,,,弓,4급Ⅱ
程,한도 정,길[道] 정,,禾,4급Ⅱ
助,도울 조:,,,力,4급Ⅱ
志,뜻 지,,,心,4급Ⅱ
肉,고기 육,,,肉,4급Ⅱ
認,알[知] 인,,,言,4급Ⅱ
精,정할 정,,,米,4급Ⅱ
早,이를 조:,,,日,4급Ⅱ
指,가리킬 지,,,手,4급Ⅱ
恩,은혜 은,,,心,4급Ⅱ
將,장수 장(:),,,寸,4급Ⅱ
濟,건널 제:,,,水,4급Ⅱ
造,지을 조:,,,辵,4급Ⅱ
支,지탱할 지,,,支,4급Ⅱ
陰,그늘 음,,,阜,4급Ⅱ
障,막을 장,,,阜,4급Ⅱ
提,끌 제,,,手,4급Ⅱ
尊,높을 존,,,寸,4급Ⅱ
至,이를 지,,,至,4급Ⅱ
應,응할 응:,,,心,4급Ⅱ
低,낮을 저:,,,人,4급Ⅱ
制,절제할 제:,,,刀,4급Ⅱ
宗,마루 종,,,宀,4급Ⅱ
職,직분 직,,,耳,4급Ⅱ
議,의논할 의(:),,,言,4급Ⅱ
敵,대적할 적,,,攴,4급Ⅱ
製,지을 제:,,,衣,4급Ⅱ
走,달릴 주,,,走,4급Ⅱ
進,나아갈 진:,,,辵,4급Ⅱ
義,옳을 의:,,,羊,4급Ⅱ
田,밭 전,,,田,4급Ⅱ
除,덜 제,,,阜,4급Ⅱ
竹,대 죽,,,竹,4급Ⅱ
眞,참 진,,,目,4급Ⅱ
移,옮길 이,,,禾,4급Ⅱ
絶,끊을 절,,,糸,4급Ⅱ
際,즈음 제:,가[邊] 제:,,阜,4급Ⅱ
準,준할 준:,,,水,4급Ⅱ
次,버금 차,,,欠,4급Ⅱ
察,살필 찰,,,宀,4급Ⅱ
取,가질 취:,,,又,4급Ⅱ
波,물결 파,,,水,4급Ⅱ
港,항구 항:,,,水,4급Ⅱ
好,좋을 호:,,,女,4급Ⅱ
創,비롯할 창:,,,刀,4급Ⅱ
測,헤아릴 측,,,水,4급Ⅱ
破,깨뜨릴 파:,,,石,4급Ⅱ
解,풀 해:,,,角,4급Ⅱ
